,identifier,text,keywords 
51,AFP_ENG_20030612.0404,"Turkey says US rebuke on human trafficking unfair. Turkey on Thursday said its inclusion on a US black list of countries doing too little to combat human trafficking, which could result in loss of some US aid and further sour relations between the NATO allies, was unfair. ""The mentioning of Turkey among countries which have failed to fulfill the minumum standards in combatting human-trafficking shows that all progress (in Turkey) has been disregarded,"" Interior Minister Abdulkadir Aksu told reporters. ""We think that this decision is not based on objective information and we regret it,"" Anatolia news agency quoted him as saying. The US report, released on Wednesday, described Turkey as a destination country for women -- mainly from former Soviet Union countries -- trafficked for sexual exploitation and as a country of transit for such women. People were also trafficked to Turkey for labor, it said.","{'trafficking', 'sexual exploitation', 'exploitation'}"
52,AFP_ENG_20030612.0471,"US raps Ukraine over failure to stamp out human trafficking. The United States has criticised the Ukrainian governement for failing to meet international norms in fighting trafficking in human beings, the US embassy in Kiev said Thursday in a statement. Washington expressed its ""rising concern"" at ""the growth of internal trafficking of young girls... (and) the susceptibility of children in orphanages to traffickers,"" the US State Department said in a report quoted by the embassy. ""Ukraine is a source country for women and girls trafficked to central and western Europe and the Middle East for purposes of sexual exploitation,"" the report said. Despite making ""significant efforts"" to improve its record, the Ukrainian government ""does not yet fully comply with minimum standards for the elimination of trafficking,"" it said, citing official corruption and a lack of coordination among departments as causes. Ukrainian police opened 169 investigations into cases of human trafficking last year, resulting in 28 convictions, including 17 prison sentences, the report said.","{'trafficking', 'sexual exploitation', 'exploitation'}"
53,AFP_ENG_20031002.0063,"Some 2.5 mln children in need of special protection in Vietnam:
UNICEF. Amid rapid economic growth, some 2.5 million children in Vietnam are in need of special protection from violence, abuse, neglect and exploitation, the United Nations Children's Fund (UNICEF) said Thursday. At a mid-term review of its 2001-2005 country programme, the UN agency called on the government to review and expand its policies and programmes towards children to create a better protective environment. Citing rising socio-economic stresses fuelled by the communist nation's transition to a market economy, UNICEF said more attention needed to be focused on social work, counselling, parental education, juvenile justice and the prevention of abuse and exploitation. ""This review documents the important progress and the many good results for women and children in Vietnam, but it also shows the many challenges yet to be met,"" said Anthony Bloomberg, UNICEF's country representative. In a statement, the agency also called for special care and protection for the more than 283,000 children affected by HIV/AIDS ""to ensure they do not suffer discrimination and have access to health and social services"".","{'violence', 'discrimination', 'exploitation'}"
54,AFP_ENG_20031005.0578,"Amnesty criticises international failure to bring equality to Afghan
women. Nearly two years after the toppling of the oppressive Taliban regime that shut women out of public life, the international community has failed in its promises to deliver freedom and equality to them, Amnesty International said in report released Monday. ""Nearly two years on, discrimination, violence, and insecurity remain rife, despite promises by world leaders, including President Bush and US Secretary of State Colin Powell, that the war in Afghanistan would bring liberation for women,"" the rights watchdog said. In its report titled ""Afghanistan: No one listens to us and no one treats us as human beings. Justice denied to women,"" Amnesty documents women's concerns over widespread domestic violence, forced marriage, and rape by armed groups. ""In some cases underage girls as young as eight years old are married to much older men,"" it said. ""This situation is unacceptable and calls for urgent action.""","{'forced marriage', 'violence', 'discrimination'}"
55,AFP_ENG_20031006.0367,"Amnesty criticises international failure to bring equality to Afghan
women. Nearly two years after the toppling of the oppressive Taliban regime that shut women out of public life, the international community has failed in its promises to deliver freedom and equality to them, Amnesty International said in report released Monday. ""Nearly two years on, discrimination, violence and insecurity remain rife, despite promises by world leaders, including President Bush and US Secretary of State Colin Powell, that the war in Afghanistan would bring liberation for women,"" the rights watchdog said. In its report titled ""Afghanistan: No one listens to us and no one treats us as human beings. Justice denied to women,"" Amnesty documents women's concerns over widespread domestic violence, forced marriage, and rape by armed groups. ""On the surface things have changed, but fundamental changes take a long time,"" said Amnesty's Asia spokesperson Magda Wendorff-Kowalczuk. ""The end of Taliban rule has not lifted the oppression of women, in part due to lack of attention to women's rights by the international community and the United States,"" Wendorff-Kowalczuk said.","{'forced marriage', 'violence', 'discrimination'}"
56,AFP_ENG_20031013.0006,"Australia unveils tougher measures to combat people smuggling. Australia on Monday announced a major new package of measures to combat people trafficking, including powers to use wiretaps and new visa arrangements for ""potentially trafficked persons"". More than 20 million dollars (13.8 million US dollars) would be put into the project over four years, the government said in a joint statement by several ministries. ""This package is a strong, well-considered and determined response to people trafficking and sexual exploitation and builds on Australia's effective apprach to fighting this crime,"" it said. ""One victim of trafficking is one too many. While Australia has a range of practical and legal measures already in place to combat trafficking, these new measures emphasise the government's commitment to combating trafficking in persons by focusing on prevention, detection, prosecutions, supporting victims and international efforts."" Among the measures is the creation of a new 23-member ""mobile strike team"" within the Australian Federal Police to investigate trafficking and sexual servitude.","{'trafficking', 'sexual exploitation', 'exploitation'}"
57,AFP_ENG_20031013.0056,"Australia unveils tougher measures to combat people smuggling by
Chris McCall. Australia on Monday announced a major new package of measures to combat people trafficking, including powers to use wiretaps and new visa arrangements for ""potentially trafficked persons"". More than 20 million dollars (13.8 million US dollars) would be put into the project over four years, the government said in a joint statement by several ministries. ""This package is a strong, well-considered and determined response to people trafficking and sexual exploitation and builds on Australia's effective approach to fighting this crime,"" it said. ""One victim of trafficking is one too many. While Australia has a range of practical and legal measures already in place to combat trafficking, these new measures emphasise the government's commitment to combating trafficking in persons by focusing on prevention, detection, prosecutions, supporting victims and international efforts."" Among the measures is the creation of a new 23-member ""mobile strike team"" within the Australian Federal Police to investigate trafficking and sexual servitude.","{'trafficking', 'sexual exploitation', 'exploitation'}"
58,AFP_ENG_20031013.0204,"Australia unveils tougher measures to combat people smuggling by
Chris McCall. Australia on Monday announced a major new package of measures to combat people trafficking, including powers to use wiretaps and new visa arrangements for ""potentially trafficked persons"". More than 20 million dollars (13.8 million US dollars) would be put into the project over four years, the government said in a joint statement by several ministries. ""This package is a strong, well-considered and determined response to people trafficking and sexual exploitation and builds on Australia's effective approach to fighting this crime,"" it said. ""One victim of trafficking is one too many. While Australia has a range of practical and legal measures already in place to combat trafficking, these new measures emphasise the government's commitment to combating trafficking in persons by focusing on prevention, detection, prosecutions, supporting victims and international efforts."" Among the measures is the creation of a new 23-member ""mobile strike team"" within the Australian Federal Police to investigate trafficking and sexual servitude.","{'trafficking', 'sexual exploitation', 'exploitation'}"
59,AFP_ENG_20031022.0627,"Iraqi women hold conference to further political role. About 300 women opened Wednesday a two-day, coalition-sponsored conference in this northern city to encourage women's participation in Iraqi political life, an AFP correspondent said. The conference gathered delegates from various women's associations from all over Iraq, as well as representatives of the US-led Coalition Provisional Authority. It was opened by Ala Talabani, a representative of a local association fighting violence against women, who read a message from British Prime Minister Tony Blair to encourage Iraqi women to fight for equal rights. Talabani told AFP on the sidelines of the event that two previous conferences on Iraqi women's issues have been held in Baghdad and further south in Hilla since the April 9 fall of Saddam Hussein's regime. ""We want to encourage women's participation in political life, especially in decision-making and in the drafting of the planned new constitution,"" she said.","{'decision-making', 'violence', 'participation'}"
60,AFP_ENG_20031111.0661,"Afghan women call for equality two years after fall of Taliban by
Waheedullah Massoud. Two years after the fall of the Taliban, Afghan women are calling for the country's new constitution to enshrine equal rights and greater participation in political life, denied to them under the old regime. The draft constitution released last week says all Afghans are equal but makes no explicit reference to equality of the sexes, women's rights activists told reporters this week. ""Learning from past constitutions and the discrimination women have suffered in the past two decades of war, we want the explicit term 'women and men are equal' rather than the broader term 'all Afghans have equal rights and duties before the law' which can be easily misinterpreted,"" said Hangama Noori of the Afghan Independent Human Rights Commission. A working group comprised of women lawyers and rights activists has drawn up a list of recommended changes to the draft constitution to enshrine the rights of women, State Minister for Women's Affairs Mahbuba Hoquqmal said. Among their recommendations are explicit guarantees of equal rights and measures to eliminate discrimination and violence against women.","{'violence', 'discrimination', 'participation'}"
61,AFP_ENG_20031119.0758,"Brazil, Colombia, Dominican Republic hit by sex trafficking: UN. Brazil, Colombia and the Dominican Republic are the Latin American countries most affected by trafficking in humans, primarily toward Europe, according to a UN report released here Wednesday. Hundreds of Brazilian girls and women head monthly for Spain, the Netherlands or Venezuela and are forced into prostitution or other jobs, said UN experts on drugs and crime in Bogota. Brazilian traffickers in humans prefer to ship their catch to Spain and Japan and use 32 international routes in their business, the experts said in presenting their findings at a press conference. ""In Colombia, the problem is getting out of control,"" said Sandra Valle, a UN adviser. ""The Colombian secret police and Interpol believe that between 45,000 and 55,000 Colombian women are victims of sexual exploitation.""","{'trafficking', 'sexual exploitation', 'exploitation'}"
62,AFP_ENG_20031216.0448,"In a first, Greece recognizes 195 foreign women as sex slaves. Greek authorities have for the first time recognized 195 foreign women forced into prostitution as sex slaves, a status which entitles them to shelter, legal assistance and either a secure repatriation or favourable treatment if they ask to remain in Greece. Stephanos Skotis, a senior police official, said the women were recognized as victims of sexual exploitation after the adoption in August of a law to that effect. Prior to August, victims of smugglers faced deportation. Skotis said some of the 195 women recognized as sex slaves had been repatriated at their request while others have been placed under the protection of the Greek government. He added that since the start of the year, when the government enacted tougher laws against sexual exploitation, police had arrested 592 people on charges of trafficking in humans, including 169 foreigners.","{'trafficking', 'sexual exploitation', 'exploitation'}"
63,AFP_ENG_20031218.0523,"Child sex abuse growing in Bosnia: UN. Bosnian children are increasingly becoming victims of human trafficking and sexual exploitation as the country's economy flounders in the aftermath of the 1992-95 war, UN officials said Thursday. ""We do know that children are trafficked within Bosnia for sexual exploitation,"" Helen Eversole, a representative of the United Nations Children's Fund (UNICEF), told journalists. ""For children in Bosnia it is probably less an issue of huge multi-million dollar organized crime and more an issue of families in poverty making very bad decisions on behalf of children."" Bosnia's economy has still not recovered from the war, and unemployment, currently standing at some 40 percent, continues to grow. The former Yugoslav republic is a well-known destination for trafficked women from eastern Europe, with demand ensured by thousands of foreign peacekeepers, according to the UN.","{'trafficking', 'sexual exploitation', 'exploitation'}"
64,AFP_ENG_20031219.0061,"Australia sets up powerful task force to fight sex-slave smugglers. Australia's top crime fighting agency has set up a task force with extra powers to stop people-smugglers bringing sex slaves into the country, Justice Minister Chris Ellison said Friday. Making the announcement as he wrapped up a tour around South East Asia to discuss the issue, Ellison said the Australian Crime Commission (ACC) task force had been given the authority to use coercive powers to stamp out the ""repugnant"" trade. ""The Australian government and its law enforcement agencies are committed to the fight against people-trafficking for sexual exploitation, and the ACC's new special intelligence operation is another weapon that will combat this vile transnational organised crime,"" Ellison said in a statement from Cambodia, where he finalised a regional agreement to co-operate on the issue. The ACC has been investigating suspected links between the sex industry and people-smuggling operations run by organised crime syndicates since April. Ellison signed an agreement with Phnom Pehn that will increase police co-operation on people-smuggling, part of a regional agreement involving Association of South East Asian nations (ASEAN) members and China's Yunnan province.","{'trafficking', 'sexual exploitation', 'exploitation'}"
65,AFP_ENG_20040308.0468,"Vatican asks UN to punish sexual violence against women. The Vatican has asked the United Nations to condemn and punish all sexual violence against women in a submission to the Commission on the Status of Women meeting in New York, released here Monday. US theologian Marilyn Ann Martone, a member of the pontifical delegation at the commission meeting, said too many women were still victims of violence and war. ""Sadly, when armed conflict emerges at any level, women become the special target of combatants in ways that dehumanize their dignity. The time has come to condemn and sanction vigourously all sexual brutalities perpetrated against women."" Martone also condemned ""the widespread hedonistic and commercial culture which encourages the systematic exploitation of girls and women"". ""The trafficking in women and children must cease,"" she said, adding that the contribution of women in the decision-making process to combat trafficking could be decisive because they are the first victims of such crimes.","{'trafficking', 'violence', 'exploitation', 'decision-making'}"
66,AFP_ENG_20040316.0212,"Women ministers make united stand against gender violence worldwide. Twenty-four women government ministers on Tuesday formed a united front to fight violence against women worldwide, warning that the extent of assaults remained unabated despite decades of international recognition of the problem. The ministers pledged to ""raise their voice"" against gender violence at the annual meeting of the UN Human Rights Commission and to read out sections of a three-page joint declaration decrying inaction. Violence is the principal cause of death for women aged 16 to 44 years old in industrialised countries alone, exceeding mortality caused by cancer or car accidents, said Swiss foreign minister Micheline Calmy-Rey, who launched the initiative. ""Violence against women is unbearable. It is rape, genital mutilations, poverty, it is death, psychological violence, inequality and trafficking of human beings,"" Calmy-Rey told journalists. The issue also englobes domestic beatings and exploitation of women placed in vulnerable situations such as migrant workers and those forced into prostitution.","{'trafficking', 'genital mutilation', 'violence', 'exploitation'}"
67,AFP_ENG_20040316.0262,"Women ministers take united stand against gender violence worldwide. Twenty-four female government ministers on Tuesday formed a united front to fight violence against women worldwide, warning there was still widespread abuse against women despite decades of international recognition of the problem. ""Violence against women is unbearable. It is rape, genital mutilations, poverty, it is death, psychological violence, inequality and trafficking of human beings,"" Swiss Foreign Minister Micheline Calmy-Rey told journalists at the annual meeting of the UN Human Rights Commission here. She added that violence was the principal cause of death for women aged 16 to 44 years old in industrialised countries alone, exceeding mortality caused by cancer or car accidents. The ministers pledged to ""raise their voices"" against gender violence at the commission's meeting and to read out sections of a three-page joint declaration decrying inaction. ""One out of four women endures domestic violence ... this is a matter of shame,"" Austria's foreign minister Benita Ferrero Waldner added.","{'trafficking', 'genital mutilation', 'violence'}"
68,AFP_ENG_20040322.0417,"Meeting opens in Mali on child trafficking in west Africa. Representatives from 10 west African countries began a two-day meeting Monday to discuss how to fight child trafficking in the sub-region. ""Despite increased efforts and international conventions adopted to fight transnational crime, criminals have continued this dehumanising practice in recent years, targeting children in particular,"" said Mali's Rural Development Minister N'diagne Fatoumata Coulibaly, in a speech to open the meeting. The talks are co-sponsored by the Malian government and the International Organization for Migration (IOM). Delegates at the two-day meeting will debate ""child labour, as well as the sexual exploitation of children, child begging and the use of children by drug-traffickers and in armed conflicts,"" said one expert attending the meeting, Attaher Maiga. The west African sub-region is ""faced with cross-border trafficking in children... particularly between Senegal, Mali, Ivory Coast and Guinea,"" said the IOM in a statement.","{'trafficking', 'sexual exploitation', 'exploitation'}"
69,AFP_ENG_20040322.0548,"West Africans meet in Mali on child trafficking
(CORRECTS title of minister in para 2, ADDS background). Representatives from 10 west African countries began a two-day meeting Monday to discuss how to fight child trafficking in the sub-region. ""Despite increased efforts and international conventions adopted to fight transnational crime, criminals have continued this dehumanising practice in recent years, targeting children in particular,"" said Mali's Rural Development Minister N'diagne Fatoumata Coulibaly, in a speech to open the meeting. The talks are co-sponsored by the Malian government and the International Organization for Migration (IOM). Delegates at the two-day meeting will debate ""child labour, as well as the sexual exploitation of children, child begging and the use of children by drug-traffickers and in armed conflicts,"" said one expert attending the meeting, Attaher Maiga. The west African sub-region is ""faced with cross-border trafficking in children...,"" said the IOM in a statement.","{'trafficking', 'sexual exploitation', 'exploitation'}"
70,AFP_ENG_20040325.0119,"Cambodian hotel owners asked to report suspected paedophiles. Hotel and guesthouse owners in Cambodia's capital will be asked to help stop the exploitation of children and others forced into the sex industry by reporting suspected offenders, an official said Thursday. Un Sokenthea, chief of the interior ministry's anti-human trafficking division, said the authorities were compiling a list of tourist accommodations in Phnom Penh and would begin approaching them next week. ""They will be asked to sign an agreement to help stop sexual exploitation in their clubs, guesthouses and hotels,"" she told AFP. Under the agreement, owners will inform police if they suspect patrons are engaging in paedophilia or other sex acts with unwilling partners, she said. ""We will ask them to listen to an explanation by authorities about our anti-human trafficking law to show them how strict this law is,"" she said, referring to legislation that can throw offenders into jail for up to 20 years.","{'trafficking', 'sexual exploitation', 'exploitation'}"
71,AFP_ENG_20040428.0208,"Thai clashes the latest flare-up in decades of Muslim separatism. After years of peace in Thailand's south, separatist violence has again exploded, fuelled by discontent and alienation among Muslims who are a minority in this mostly Buddhist nation. Muslims make up five percent of the national population and mostly live in the three provinces of Narathiwat, Pattani and Yala. For decades they have complained of discrimination and unequal opportunities. Thailand annexed their independent Islamic empire a century ago, but visitors to the region can clearly see that they have more in common with their predominantly Muslim Malaysian neighbours. Most people here speak Yawi, a dialect of Malay, shop fronts bear Arabic writing and women wear head scarves and modest garments while many men sport Muslim skull caps. The relative poverty of the region compared to prosperous central Thailand fuelled a deadly Muslim insurgency which flared in the 1970s in a major challenge to the government.","{'violence', 'discrimination', 'equal opportunities'}"
72,AFP_ENG_20040508.0153,"Tajikistan, IOM team up to stamp out trafficking of women. Tajikistan signed an agreement Saturday with the International Organisation for Migration aimed at fighting the trafficking in Tajik women, many of whom end up as prostitutes in the United Arab Emirates, officials said. ""Thirty cases of women trafficking to the United Arab Emirates for sexual exploitation have come to light over the last four years, including four since the start of the year,"" said Tajikistan's Deputy Interior Minister Makhmadsaid Djourakoulov. ""We want to hunt out all the criminal groups in Tajikistan who drag young women into prostitution in the United Arab Emirates, Turkey, Russia and Israel and bring to light their ties to international criminal organisations,"" he said. Customs officials and police are suspected of complicity in trafficking, he added. The International Organisation for Migration will provide technical assistance and help train a new service of the local police to combat the problem.","{'trafficking', 'sexual exploitation', 'exploitation'}"
73,AFP_ENG_20040513.0531,"Conference on children rights opens in Sarajevo. Representatives of over 50 European and Central Asian countries met in Sarajevo Thursday for a three-day conference aimed at boosting the protection of children. Participants, including United Nations Children's Fund (UNICEF) executive director Carol Bellamy and its goodwill ambassador actress Vanessa Redgrave, were to discus a number of issues including violence against children, discrimination, social exclusion and trafficking. ""The world has become a scary place for children, and in Europe and Central Asia millions of children are falling through the cracks to be trafficked and traded, exploited and abused,"" Bellamy said. ""We must create a protective environment for and with children ... what we need right now is more political will and leadership,"" she added. Delegations of children, donors and representatives of civil society were also to attend the conference organized jointly by the governments of Bosnia and Germany.","{'trafficking', 'violence', 'discrimination', 'leadership'}"
74,AFP_ENG_20040518.0051,"Child prisoners face abuse in Asian jails: UNICEF. Child prisoners in Asia are experiencing inhumane treatment and are at risk of sexual exploitation and drug abuse, UNICEF warned Tuesday as it called for a regional judicial overhaul for the young. The bleak outlook was laid out in a report by the UN fund titled ""Justice for children, Detention as a last resort"", which called on Asian governments to find alternatives to prison for young offenders. ""Children behind bars face inhuman conditions and treatment. They are denied basic rights, such as decent healthcare and education, and are highly vulnerable to drug abuse, sexual exploitation and HIV/AIDS,"" it said. Many children in detention have been convicted of only petty crimes or are awaiting trial, sometimes for extended periods, while others are guilty only of being homeless, or are victims of child trafficking and other forms of abuse. UNICEF's regional director Mehr Khan said a greater focus was also needed on the causes of youth crime in the region.","{'trafficking', 'sexual exploitation', 'exploitation'}"
75,AFP_ENG_20040526.0483,"Britain denies rift with US as violence dogs countdown to Iraq
handover. Britain Wednesday denied it was at odds with the United States over the powers of a new Iraqi government as deadly violence dogged the countdown to the coalition's June 30 deadline for thal decision-making passes to the Iraqi government,"" he said. ""After June 30, of course, once strategic decisions have been made, the running of any operation is under the multinational force and the commanders of that force."" On Tuesday, Blair had sparked talk of a rift with Washington by suggesting that the new Iraqi government would have a veto over major operations, like the month-long offensive launched by US marines against Sunni Muslim insurgents in their bastion of Fallujah earlier this year after the killing of four US contractors. His comments appeared to be contradicted by US Secretary of State Colin Powell who insisted later Tuesday that US commanders would have the ultimate say, even if there was disagreement with the Iraqi leadership. ""If it comes down to United States armed forces ... in some way accomplishing their mission in a way that might not be in total consonance with what the Iraqi interim government might want to do at a particular moment in time, US forces remain under US command,"" said Powell.","{'violence', 'leadership', 'decision-making'}"
76,AFP_ENG_20040527.0424,"Six Greeks arrested for producing child porn, spreading it on
Internet. Police said Thursday they have arrested six Greeks, including two women, suspected of producing and spreading child pornography on the Internet. Investigators raided the suspects' homes and seized large quantities of pornographic pictures, sadomasochist paraphernalia, 11 computers, two video cameras and eight still cameras, a police official said. The official said a 16-year-old Greek girl was also found by police and admitted posing for the suspects for 50 euros (60 dollars) a session. Police said they were looking for other presumed victims. They said a preliminary investigation determined that the suspects found their teenage targets through advertisements posted on the Internet. Non-governmental organizations fighting child trafficking have routinely warned against sexual exploitation of immigrant children, particularly Albanians, in Greece.","{'trafficking', 'sexual exploitation', 'exploitation'}"
77,AFP_ENG_20040614.0301,"Sri Lanka, at peace with Tigers, battles foreign call girls by Amal
Jayasinghe. A truce between Tiger rebels and troops has helped Sri Lanka recover its reputation as a tourist paradise, but the halt in hostilitier noses, Lugoda said. Casinos which also offer free food and drinks throw in foreign women escorts as part of the package to entice high rollers. About 50 to 60 foreign women have been rounded up by the police in the capital this year, but laws are inadequate to prosecute them as the ""vagrancy ordinance"" only stipulates a fine of 500 rupees (five dollars). Police say a large number of Chinese, Thai and Ukrainian women work here for up to about six months and then travel on to Singapore through organised trafficking rackets. A British Home Office report in April said a ""a small number of Thai, Russian, and Chinese women had been trafficked to Sri Lanka for purposes of sexual exploitation.""","{'trafficking', 'sexual exploitation', 'exploitation'}"
78,AFP_ENG_20040615.0114,"Japan among seven Asian nations in US human trafficking watchlist. Japan is among seven Asian nations placed in a US ""watch list"" of countries involved in human trafficking, officials said. A key destination for women and children trafficked for forced labor and sexual exploitation, Japan was relegated to a so-called Tier 2 watch list by the US State Department in its 2003 ""Trafficking in Persons"" report released on Monday. In the previous report, Japan was on Tier 2 but was relegated to a special watch list with a warning that it could be downgraded further to Tier 3, of countries not making significnitor and combat trafficking in persons, told a media briefing. ""We believe that there has been a tremendous gap in Japan that has a huge problem with slavery -- particularly sex slavery -- a tremendous gap between the size of the problem and the resources and efforts devoted to addressing the problem,"" he said. Japan's trafficking problem is ""large,"" the report said, adding that organized crime groups that operate internationally, like the Yakuza, are involved.","{'trafficking', 'sexual exploitation', 'exploitation'}"
79,AFP_ENG_20040618.0277,"Philippines says US human trafficking watchlist ""unfair"". President Gloria Arroyo's government on Friday branded as ""unfair"" a US move to put the Philippines on a global watchlist of countries that have failed to adequately fight international sex trafficking. Justice Secretary Merceditas Gutierrez said Manila's anti-trafficking law was only passed last year, one of only two such statutes among the countries comprising Southeast Asia, and it should not be judged on the basis of how many suspects have been arrested and prosecuted. The 2004 State Department report classifies Manila on a ""Tier 2 watch list"" of countries that are not yet in compliance with US legal standards, but which have promised to make or are in the process of making significant efforts to meet the requirements. It said the Philippines ""is a source, transit, and destination country for persons trafficked for the purposes of sexual exploitation and forced labor"" involving not only local women, but also as a ""transit point and destination for victims"" from China. The report recognized Manila's ""significant efforts"" to fully comply with the minimum standards for the elimination of trafficking.""","{'trafficking', 'sexual exploitation', 'exploitation'}"
80,AFP_ENG_20040713.0123,"Low rate of Indonesian birth certificates opens way to sex abuse:
UNICEF. The widespread absence of birth certificates in Indonesia leaves children open to sexual and other abuse, the United Nations children's fund said Tuesday. Indonesia ranks among the bottom 10 percent of the world's population in issuing birth certificates to its children, Steven Allen, UNICEF'S local representative, told reporters. He spoke at a ceremony in which the government of Japan pledged 800,000 dollars to help improve Indonesia's birth registration system. Allen said the registration level of 54 percent of children under five is one of the world's lowest. ""The vast majority of the other countries in that bottom 10 percent are failed states in Africa,"" Allen said. Without registration and a birth certificate, youngsters are open to various forms of abuse including sexual exploitation, trafficking, illegal adoptions, forced early marriage and child labour, Allen said.","{'trafficking', 'sexual exploitation', 'exploitation'}"
81,AFP_ENG_20040720.0340,"Gaza crisis will only end if genuine reforms adopted: analysts by
Adel Zaanoun. Security chaos in the Gaza Strip will continue unless fundamental reforms are implemented, Palestinian analysts said Tuesday, while castigating militants for resorting to violence to bring about political change. ""The crisis does not stem from particular prerogatives or officials, it rather masks problems with the current political system,"" said Talal Ukal, a Gaza-based newspaper commentator. He pointed to the need for the Palestinian Authority to institute a separation of powers among the judiciary, legislative and executive and allow for broad political participation. A unified national leadership can solve the crisis, he added. Gaza witnessed an unprecedented spate of kidnappings on Friday with the perpetrators demanding an end to corruption within Palestinian leader Yasser Arafat's sprawling security apparatus.","{'violence', 'leadership', 'participation'}"
82,AFP_ENG_20040726.0698,"Castro blasts Bush for claiming Cuba is a sex tourism destination. Cuban President Fidel Castro Monday lashed out at his US counterpart for claiming Cuba was a favored destination for pedophiles and other sex tourists, and pointed to George W. Bush's past alcohol problems. In a speech attended by members of the diplomatic corps, Castro dismissed the claims Bush made during a recent speech in Florida as ""crude calumnies"" made by ""a sinister caracter who threatens and insults us."" ""In the feverish and fundamentalist mind of the all-powerful head of the White House ... one now has to save Cuba not only from tyranny but one also has to save Cuban children from sexual exploitation and the trafficking of people,"" Castro said. He questioned the Bush's mental capacities, quoting from the ""Bush on the couch"" book to describe the US president as a past alcoholic. About half his 90-minute speech was devoted to quotes from the book, written by psychoanalist Justin Frank who portrays Bush as a man driven by rage and fear. Earlier this month, Bush claimed that Castro's communist regime has made Cuba the favored destination for pedophiles and sex tourists from the United States and Canada, replacing nations in Southeast Asia that have fought for years to end the trade.","{'trafficking', 'sexual exploitation', 'exploitation'}"
83,AFP_ENG_20040830.0168,"Singapore slams US report on human trafficking, abuse of maids. Singapore on Monday strongly rejected a US government report which said there was an illicit trade in Asian prostitutes and the ""involuntary servitude"" of some foreign maids in the city-state. ""While Singapore is not spared from vice activities, forced prostitution is very rare here,"" the Ministry of Home Affairs said. ""Thus, we question a number of assertions made in the report on Singapore, and would like the US government to share with us the basis for its assessment,"" it added in a statement. It said not even the United States can claim to be completely free from the problem of human trafficking. The US State Department said in June that Singapore had a ""significant trafficking problem"" and there were ""likely more than 100 cases per year"" of girls and women brought into the affluent island for sexual exploitation.","{'trafficking', 'sexual exploitation', 'exploitation'}"
84,AFP_ENG_20040830.0214,"Singapore slams US report on human trafficking, maid abuse
(ADDS US embassy reaction, measures to curb maid abuse). Singapore on Monday strongly rejected a US government report alleging that an illicit trade in Asian prostitutes and the  ""involuntary servitude"" of some foreign maids exists in the city-state. ""While Singapore is not spared from vice activities, forced prostitution is very rare here,"" the Ministry of Home Affairs said. ""Thus, we question a number of assertions made in the report on Singapore, and would like the US government to share with us the basis for its assessment,"" it added in a statement. It said not even the United States can claim to be completely free from the problem of human trafficking. The US State Department said in June that Singapore had a ""significant trafficking problem"" and there were ""likely more than 100 cases per year"" of girls and women brought to the affluent island for sexual exploitation.","{'trafficking', 'sexual exploitation', 'exploitation'}"
85,AFP_ENG_20040912.0168,"Myanmar announces new moves to battle human trafficking. Military-ruled Myanmar plans to open anti-human trafficking liaison offices in three border key towns in a bid to crack down on theen, women and children are trafficked across international borders each year, more than half of them for sexual exploitation, and that the multi-billion-dollar trade ranks among the fastest growing transnational crimes.","{'trafficking', 'sexual exploitation', 'exploitation'}"
86,AFP_ENG_20040930.0287,"South Asia child sex trade booming in Internet age: UNICEF. At least half a million South Asian boys and girls are working as prostitutes despite government efforts to curb a cday reviewed progress since the ""Yokohama Global Commitment 2001"" when world leaders meeting in Japan pledged to tackle the problem of sexual exploitation and child abuse. ""There is progress in the past two and a half years, but the meeting here is going to call for action plans by every country and the establishment of a better data base,"" Dawes said. He said they were also calling for better enforcement at borders to prevent the trafficking in women and children and also appealing to South Asian men not to have sex with children. ""The market for the child sex trade in South Asia is South Asian men,"" Dawes said. ""We think it is fair to ask them not to have sex with children."" He said there were problems of foreign paedophiles entering countries like Sri Lanka to have sex with local boys, but the locals themselves abusing their own children was also a big problem.","{'trafficking', 'sexual exploitation', 'exploitation'}"
87,AFP_ENG_20041026.0388,"Thai deaths after protest clashes signal latest crisis in south. The death of 84 Thai Muslims opens a new grim chapter in a long-running saga of conflict and violence in Thailand's Muslim-majority south. Muslims, a minority in this Buddhist nation, have long complained of discrimination and unequal opportunities and the resentment has sporadically sparked armed uprisings against the Bangkok government. Muslims make up five percent of the national population and mostly live in the three provinces of Narathiwat, Pattani and Yala. Five of Thailand's southernmost provinces were originally part of an ancient Hindu-Malay empire that adopted Islam in the mid-13th century. After years of fighting, Thailand annexed the ethnic Malay kingdom in 1902 but visitors to the region can clearly see the Muslims have more in common with their mainly Muslim Malaysian neighbours.","{'violence', 'discrimination', 'equal opportunities'}"
